symbol,short_name,region,exchange,exchange_timezone,market_cap,beta
AA,Alcoa Corporation,US,NYQ,EDT,8680380416,2.553
AAL,"American Airlines Group, Inc.",US,NMS,EDT,7147851264,1.27
AAP,Advance Auto Parts Inc.,US,NYQ,EDT,2247615232,1.293
AAPL,Apple Inc.,US,NMS,EDT,3207068385280,1.178
ABBV,AbbVie Inc.,US,NYQ,EDT,373848178688,0.598
ABNB,"Airbnb, Inc.",US,NMS,EDT,76337840128,1.108
ABR,Arbor Realty Trust,US,NYQ,EDT,2351756800,1.989
ABT,Abbott Laboratories,US,NYQ,EDT,219755692032,0.693
ACHR,Archer Aviation Inc.,US,NYQ,EDT,4285513216,3.143
ACI,"Albertsons Companies, Inc.",US,NYQ,EDT,12213309440,0.35
ACN,Accenture plc,US,NYQ,EDT,199415545856,1.239
ADBE,Adobe Inc.,US,NMS,EDT,171671240704,1.37
ADI,"Analog Devices, Inc.",US,NMS,EDT,103534993408,1.072
ADM,Archer-Daniels-Midland Company,US,NYQ,EDT,22632577024,0.662
ADP,"Automatic Data Processing, Inc.",US,NMS,EDT,118708690944,0.777
ADSK,"Autodesk, Inc.",US,NMS,EDT,54193590272,1.509
AEO,"American Eagle Outfitters, Inc.",US,NYQ,EDT,2124648192,1.546
AFL,AFLAC Incorporated,US,NYQ,EDT,58621566976,0.926
AFRM,"Affirm Holdings, Inc.",US,NMS,EDT,16030457856,3.638
AG,First Majestic Silver Corp.,US,NYQ,EDT,3233721088,1.24
AGNC,AGNC Investment Corp.,US,NMS,EDT,9374351360,1.494
AI,"C3.ai, Inc.",US,NYQ,EDT,2868489984,2.02
AIG,"American International Group, I",US,NYQ,EDT,49323769856,1.0
AKAM,"Akamai Technologies, Inc.",US,NMS,EDT,12135173120,0.676
ALB,Albemarle Corporation,US,NYQ,EDT,8845017088,1.704
ALGN,"Align Technology, Inc.",US,NMS,EDT,12231920640,1.688
ALLY,Ally Financial Inc.,US,NYQ,EDT,10466411520,1.384
ALT,"Altimmune, Inc.",US,NGM,EDT,455921088,0.855
AMAT,"Applied Materials, Inc.",US,NMS,EDT,126464573440,1.619
AMBA,"Ambarella, Inc.",US,NMS,EDT,2284435456,1.779
AMC,"AMC Entertainment Holdings, Inc",US,NYQ,EDT,1252655104,2.085
AMD,"Advanced Micro Devices, Inc.",US,NMS,EDT,163619864576,1.736
AMGN,Amgen Inc.,US,NMS,EDT,168526577664,0.524
AMZN,"Amazon.com, Inc.",US,NMS,EDT,2097814568960,1.192
ANET,"Arista Networks, Inc.",US,NYQ,EDT,105316130816,1.079
ANF,Abercrombie & Fitch Company,US,NYQ,EDT,4019237888,1.457
ANVS,"Annovis Bio, Inc.",US,NYQ,EDT,33321402,1.65
APA,APA Corporation,US,NMS,EDT,7139295232,3.27
APO,"Apollo Global Management, Inc. ",US,NYQ,EDT,76626878464,1.647
APT,"Alpha Pro Tech, Ltd.",US,ASE,EDT,56643308,
AR,Antero Resources Corporation,US,NYQ,EDT,11691032576,3.4
ASAN,"Asana, Inc.",US,NYQ,EDT,3174675456,1.128
ASML,ASML Holding N.V. - New York Re,US,NMS,EDT,280744787968,1.113
ASO,"Academy Sports and Outdoors, In",US,NMS,EDT,3129809408,1.249
ASPN,"Aspen Aerogels, Inc.",US,NYQ,EDT,605596928,2.279
ASTS,"AST SpaceMobile, Inc.",US,NMS,EDT,8909249536,1.616
AVGO,Broadcom Inc.,US,NMS,EDT,919419289600,1.03
AXP,American Express Company,US,NYQ,EDT,186235863040,1.212
AZN,Astrazeneca PLC,US,NMS,EDT,240585605120,0.157
BA,Boeing Company (The),US,NYQ,EDT,121746972672,1.526
BABA,Alibaba Group Holding Limited,US,NYQ,EDT,335156281344,0.272
BAC,Bank of America Corporation,US,NYQ,EDT,310878502912,1.331
BAX,Baxter International Inc.,US,NYQ,EDT,17697107968,0.603
BB,BlackBerry Limited,US,NYQ,EDT,2685786624,0.908
BBWI,"Bath & Body Works, Inc.",US,NYQ,EDT,6389169152,1.874
BBY,"Best Buy Co., Inc.",US,NYQ,EDT,15284275200,1.452
BE,Bloom Energy Corporation,US,NYQ,EDT,5637863424,3.3
BEKE,KE Holdings Inc,US,NYQ,EDT,29124585472,-0.814
BHC,Bausch Health Companies Inc.,US,NYQ,EDT,2630728192,0.596
BIDU,"Baidu, Inc.",US,NMS,EDT,33079617536,0.469
BIIB,Biogen Inc.,US,NMS,EDT,20410531840,0.012
BILI,Bilibili Inc.,US,NMS,EDT,8913444864,0.924
BILL,"BILL Holdings, Inc.",US,NYQ,EDT,4732379648,2.002
BITF,Bitfarms Ltd.,US,NGM,EDT,548093568,3.265
BK,The Bank of New York Mellon Cor,US,NYQ,EDT,58694377472,1.051
BKNG,Booking Holdings Inc. Common St,US,NMS,EDT,146535612416,1.404
BLK,"BlackRock, Inc.",US,NYQ,EDT,144183459840,1.303
BLNK,Blink Charging Co.,US,NCM,EDT,96541184,2.859
BMBL,Bumble Inc.,US,NMS,EDT,731459136,1.774
BMY,Bristol-Myers Squibb Company,US,NYQ,EDT,119749574656,0.436
BP,BP p.l.c.,US,NYQ,EDT,86687784960,0.464
BSX,Boston Scientific Corporation,US,NYQ,EDT,143386787840,0.774
BTBT,"Bit Digital, Inc.",US,NCM,EDT,374561952,5.143
BTU,Peabody Energy Corporation,US,NYQ,EDT,1621717120,0.939
BUD,Anheuser-Busch Inbev SA Sponsor,US,NYQ,EDT,120947703808,0.926
BURL,"Burlington Stores, Inc.",US,NYQ,EDT,14506678272,1.727
BX,Blackstone Inc.,US,NYQ,EDT,171696996352,1.541
BYND,"Beyond Meat, Inc.",US,NMS,EDT,258085104,2.37
BYON,"Beyond, Inc.",US,NYQ,EDT,298673760,3.914
C,"Citigroup, Inc.",US,NYQ,EDT,129614528512,1.416
CAG,"ConAgra Brands, Inc.",US,NYQ,EDT,12243257344,0.173
CAH,"Cardinal Health, Inc.",US,NYQ,EDT,30920704000,0.677
CAN,Canaan Inc.,US,NGM,EDT,396804992,3.398
CAR,"Avis Budget Group, Inc.",US,NMS,EDT,2175089408,2.37
CAT,"Caterpillar, Inc.",US,NYQ,EDT,162324824064,1.138
CBOE,"Cboe Global Markets, Inc.",US,BTS,EDT,22400993280,0.661
CC,Chemours Company (The),US,NYQ,EDT,2151950336,1.979
CCJ,Cameco Corporation,US,NYQ,EDT,18487701504,1.03
CCL,Carnival Corporation,US,NYQ,EDT,26929649664,2.669
CELH,"Celsius Holdings, Inc.",US,NCM,EDT,6367320576,1.892
CF,"CF Industries Holdings, Inc.",US,NYQ,EDT,12991619072,0.979
CGC,Canopy Growth Corporation,US,NMS,EDT,199466288,1.733
CHPT,"ChargePoint Holdings, Inc.",US,NYQ,EDT,314640000,1.845
CHTR,"Charter Communications, Inc.",US,NMS,EDT,49917919232,1.135
CHWY,"Chewy, Inc.",US,NYQ,EDT,13555487744,1.235
CI,The Cigna Group,US,NYQ,EDT,85633851392,0.533
CIFR,Cipher Mining Inc.,US,NMS,EDT,1099048064,2.48
CL,Colgate-Palmolive Company,US,NYQ,EDT,72892162048,0.392
CLF,Cleveland-Cliffs Inc.,US,NYQ,EDT,5137657856,1.931
CLMT,"Calumet, Inc",US,NMS,EDT,1039657728,1.886
CLOV,"Clover Health Investments, Corp",US,NMS,EDT,1869919744,2.011
CLS,"Celestica, Inc.",US,NYQ,EDT,10619525120,2.175
CLSK,"CleanSpark, Inc.",US,NCM,EDT,2238039808,4.213
CMA,Comerica Incorporated,US,NYQ,EDT,7577638912,1.26
CMCSA,Comcast Corporation,US,NMS,EDT,133961539584,1.006
CMG,"Chipotle Mexican Grill, Inc.",US,NYQ,EDT,67807662080,1.274
CNC,Centene Corporation,US,NYQ,EDT,28864798720,0.397
CNQ,Canadian Natural Resources Limi,US,NYQ,EDT,61761294336,1.846
COF,Capital One Financial Corporati,US,NYQ,EDT,65538842624,1.476
COHR,Coherent Corp.,US,NYQ,EDT,9964379136,1.695
COP,ConocoPhillips,US,NYQ,EDT,125902004224,1.129
COST,Costco Wholesale Corporation,US,NMS,EDT,401053941760,0.805
CPB,The Campbell's Company,US,NMS,EDT,11456152576,0.143
CPNG,"Coupang, Inc.",US,NYQ,EDT,40641581056,1.098
CPRI,Capri Holdings Limited,US,NYQ,EDT,2533885952,2.099
CRH,CRH PLC,US,NYQ,EDT,65760251904,1.368
CRM,"Salesforce, Inc.",US,NYQ,EDT,268503400448,1.354
CROX,"Crocs, Inc.",US,NMS,EDT,5527141376,1.838
CRSP,CRISPR Therapeutics AG,US,NGM,EDT,3612821760,1.762
CRWD,"CrowdStrike Holdings, Inc.",US,NMS,EDT,87681351680,1.193
CSCO,"Cisco Systems, Inc.",US,NMS,EDT,240686546944,0.776
CSIQ,Canadian Solar Inc.,US,NMS,EDT,624029312,1.342
CSX,CSX Corporation,US,NMS,EDT,56857546752,1.245
CTAS,Cintas Corporation,US,NMS,EDT,77819420672,1.407
CTRA,Coterra Energy Inc.,US,NYQ,EDT,21113491456,0.242
CVNA,Carvana Co.,US,NYQ,EDT,21188456448,3.571
CVS,CVS Health Corporation,US,NYQ,EDT,82809348096,0.531
CVX,Chevron Corporation,US,NYQ,EDT,276449427456,1.062
CZR,"Caesars Entertainment, Inc.",US,NMS,EDT,5951204864,2.968
DAL,"Delta Air Lines, Inc.",US,NYQ,EDT,30198722560,1.343
DASH,"DoorDash, Inc.",US,NMS,EDT,77087612928,1.703
DBX,"Dropbox, Inc.",US,NMS,EDT,7515396608,0.767
DD,"DuPont de Nemours, Inc.",US,NYQ,EDT,32227395584,1.28
DDOG,"Datadog, Inc.",US,NMS,EDT,34893377536,1.217
DE,Deere & Company,US,NYQ,EDT,129600192512,1.024
DECK,Deckers Outdoor Corporation,US,NYQ,EDT,18012538880,1.099
DELL,Dell Technologies Inc.,US,NYQ,EDT,66749440000,0.899
DFS,Discover Financial Services,US,NYQ,EDT,41328635904,1.448
DG,Dollar General Corporation,US,NYQ,EDT,17378551808,0.44
DHI,"D.R. Horton, Inc.",US,NYQ,EDT,40674697216,1.806
DHR,Danaher Corporation,US,NYQ,EDT,150617997312,0.849
DIS,Walt Disney Company (The),US,NYQ,EDT,178320392192,1.411
DKNG,DraftKings Inc.,US,NMS,EDT,18554632192,2.069
DKS,Dick's Sporting Goods Inc,US,NYQ,EDT,15846809600,1.567
DLR,"Digital Realty Trust, Inc.",US,NYQ,EDT,50926678016,0.676
DLTR,"Dollar Tree, Inc.",US,NMS,EDT,13882917888,0.909
DOCU,"DocuSign, Inc.",US,NMS,EDT,17325494272,1.024
DOW,Dow Inc.,US,NYQ,EDT,26092095488,1.159
DPZ,Domino's Pizza Inc,US,NMS,EDT,14596116480,1.063
DQ,DAQO New Energy Corp.,US,NYQ,EDT,1253385600,0.409
DVN,Devon Energy Corporation,US,NYQ,EDT,22407538688,1.954
DXCM,"DexCom, Inc.",US,NMS,EDT,27623673856,1.288
EBAY,eBay Inc.,US,NMS,EDT,30420480000,1.442
EBS,Emergent BioSolutions Inc.,US,NYQ,EDT,310264288,1.802
EH,EHang Holdings Limited,US,NGM,EDT,1536776832,0.912
EL,"Estee Lauder Companies, Inc. (T",US,NYQ,EDT,23928240128,1.071
ELF,"e.l.f. Beauty, Inc.",US,NYQ,EDT,3845256448,1.593
EMR,Emerson Electric Company,US,NYQ,EDT,63117332480,1.351
ENPH,"Enphase Energy, Inc.",US,NGM,EDT,7700539392,2.12
ENVX,Enovix Corporation,US,NMS,EDT,1463246080,1.926
EOG,"EOG Resources, Inc.",US,NYQ,EDT,68642512896,1.26
EOSE,"Eos Energy Enterprises, Inc.",US,NCM,EDT,935853952,2.158
EPD,Enterprise Products Partners L.,US,NYQ,EDT,72745869312,1.054
EQT,EQT Corporation,US,NYQ,EDT,30302210048,1.119
ET,Energy Transfer LP,US,NYQ,EDT,64266559488,1.697
ETN,"Eaton Corporation, PLC",US,NYQ,EDT,115095117824,1.084
ETSY,"Etsy, Inc.",US,NMS,EDT,4887837184,2.231
EVGO,EVgo Inc.,US,NMS,EDT,735175232,2.38
EXPE,"Expedia Group, Inc.",US,NMS,EDT,20889008128,1.832
F,Ford Motor Company,US,NYQ,EDT,38564368384,1.607
FANG,"Diamondback Energy, Inc.",US,NMS,EDT,43474034688,1.831
FCEL,"FuelCell Energy, Inc.",US,NGM,EDT,130668680,3.702
FCX,"Freeport-McMoRan, Inc.",US,NYQ,EDT,55830163456,1.869
FDX,FedEx Corporation,US,NYQ,EDT,58334113792,1.239
FFAI,Faraday Future Intelligent Elec,US,NCM,EDT,94826680,4.799
FI,"Fiserv, Inc.",US,NYQ,EDT,120458240000,0.928
FIS,Fidelity National Information S,US,NYQ,EDT,37549867008,1.116
FL,"Foot Locker, Inc.",US,NYQ,EDT,1487857920,1.537
FOXA,Fox Corporation,US,NMS,EDT,22805110784,0.679
FSLR,"First Solar, Inc.",US,NMS,EDT,14186784768,1.517
FSLY,"Fastly, Inc.",US,NYQ,EDT,974755008,1.301
FTAI,FTAI Aviation Ltd.,US,NMS,EDT,10697094144,2.098
FTNT,"Fortinet, Inc.",US,NMS,EDT,74013745152,0.968
FUBO,fuboTV Inc.,US,NYQ,EDT,1085896832,2.033
FUTU,Futu Holdings Limited,US,NGM,EDT,16339738624,0.777
GAP,"Gap, Inc. (The)",US,NYQ,EDT,7591465472,2.37
GD,General Dynamics Corporation,US,NYQ,EDT,70840074240,0.586
GDDY,GoDaddy Inc.,US,NYQ,EDT,24899858432,1.255
GE,GE Aerospace,US,NYQ,EDT,210233573376,1.196
GEO,Geo Group Inc (The) REIT,US,NYQ,EDT,3736889344,0.878
GEVO,"Gevo, Inc.",US,NCM,EDT,296864704,2.723
GILD,"Gilead Sciences, Inc.",US,NMS,EDT,138781802496,0.236
GLW,Corning Incorporated,US,NYQ,EDT,40044363776,1.019
GM,General Motors Company,US,NYQ,EDT,48098394112,1.434
GME,GameStop Corporation,US,NYQ,EDT,10298739712,-0.263
GOLD,Barrick Gold Corporation,US,NYQ,EDT,32365641728,0.51
GOOG,Alphabet Inc.,US,NMS,EDT,2029023264768,1.025
GOOGL,Alphabet Inc.,US,NMS,EDT,2029039910912,1.025
GOOS,Canada Goose Holdings Inc. Subo,US,NYQ,EDT,833369472,1.266
GRAB,Grab Holdings Limited,US,NMS,EDT,17926215680,0.88
GRPN,"Groupon, Inc.",US,NMS,EDT,591191872,1.405
GS,"Goldman Sachs Group, Inc. (The)",US,NYQ,EDT,168264810496,1.362
GSK,GSK plc,US,NYQ,EDT,80417046528,0.286
HAL,Halliburton Company,US,NYQ,EDT,21763067904,1.861
HD,"Home Depot, Inc. (The)",US,NYQ,EDT,348978348032,1.09
HE,"Hawaiian Electric Industries, I",US,NYQ,EDT,1938517760,0.463
HES,Hess Corporation,US,NYQ,EDT,45667295232,1.219
HIMS,"Hims & Hers Health, Inc.",US,NYQ,EDT,7362580992,1.367
HIVE,HIVE Digital Technologies Ltd,US,NCM,EDT,270399488,4.589
HL,Hecla Mining Company,US,NYQ,EDT,3626709760,1.935
HLF,Herbalife Ltd.,US,NYQ,EDT,815795072,1.035
HOG,"Harley-Davidson, Inc.",US,NYQ,EDT,3058628608,1.511
HON,Honeywell International Inc.,US,NMS,EDT,136138530816,1.069
HPE,Hewlett Packard Enterprise Comp,US,NYQ,EDT,20518119424,1.226
HPQ,HP Inc.,US,NYQ,EDT,26782191616,1.113
HRL,Hormel Foods Corporation,US,NYQ,EDT,16244430848,0.21
HSBC,"HSBC Holdings, plc.",US,NYQ,EDT,202972299264,0.493
HSY,The Hershey Company,US,NYQ,EDT,34454401024,0.314
HUM,Humana Inc.,US,NYQ,EDT,30520846336,0.578
HUT,Hut 8 Corp.,US,NMS,EDT,1310662656,
HWM,Howmet Aerospace Inc.,US,NYQ,EDT,51239460864,1.369
IBM,International Business Machines,US,NYQ,EDT,230286016512,0.734
IEP,Icahn Enterprises L.P. - Deposi,US,NMS,EDT,4965991936,0.777
ILMN,"Illumina, Inc.",US,NMS,EDT,13559040000,1.172
INO,"Inovio Pharmaceuticals, Inc.",US,NCM,EDT,73283000,0.918
INTC,Intel Corporation,US,NMS,EDT,104136491008,1.018
INTU,Intuit Inc.,US,NMS,EDT,167401717760,1.27
IONQ,"IonQ, Inc.",US,NYQ,EDT,5972024832,2.5
IOVA,"Iovance Biotherapeutics, Inc.",US,NGM,EDT,1177078400,0.929
IP,International Paper Company,US,NYQ,EDT,27048138752,0.983
IQ,"iQIYI, Inc.",US,NMS,EDT,2262163968,0.051
IRBT,iRobot Corporation,US,NMS,EDT,113325824,1.188
IRM,Iron Mountain Incorporated (Del,US,NYQ,EDT,25443846144,1.078
ISRG,"Intuitive Surgical, Inc.",US,NMS,EDT,172778913792,1.429
JBLU,JetBlue Airways Corporation,US,NMS,EDT,1976805504,1.806
JD,"JD.com, Inc.",US,NMS,EDT,65209151488,0.437
JMIA,Jumia Technologies AG,US,NYQ,EDT,286563424,2.871
JNJ,Johnson & Johnson,US,NYQ,EDT,392347680768,0.463
JOBY,"Joby Aviation, Inc.",US,NYQ,EDT,4915978240,2.353
